titulo,ano,local,coautores,link_externo
Filtragem de projeções tomográficas da ciência do solo utilizando transformada de anscombe e kalman.,2007,"In: BRAZILIAN CONFERENCE ON DYNAMICS, CONTROL AND THEIR APPLICATIONS-DINCON'2007, 6., 2007. São José do Rio Preto, SP. Proceedings... Rio Claro: UNESP, 2007. 1 CD-ROM. p. 1226-1233. Anais.",Marcos AM Laia; Paulo E Cruvinel; Alexandre LM Levada,N/A
"Information geometry, simulation and complexity in Gaussian random fields",2016,De Gruyter,Alexandre L Levada,N/A
Double noise filtering in CT: pre-and post-reconstruction,2015,Ieee,Vinicius C Assis; Denis HP Salvadeo; Nelson DA Mascarenhas; Alexandre LM Levada,N/A
Optimizing contextual-based optimum-forest classification through swarm intelligence,2013,Springer International Publishing,Daniel Osaku; Rodrigo Nakamura; João Papa; Alexandre Levada; Fábio Cappabianco; Alexandre Falcão,N/A
An adaptive approach for contextual audio denoising using local Fisher information,2011,IEEE,Alexandre LM Levada; Débora C Corrêa,N/A
Filtragem adaptativa de ruído gaussiano em imagens através da minimização da informação de fisher observada,2010,N/A,Alexandre LM Levada; Nelson DA Mascarenhas,N/A
On the asymptotic variances of Gaussian Markov random field model hyperparameters in stochastic image modeling,2008,IEEE,Alexandre LM Levada; Nelson DA Mascarenhas; Alberto Tannús,N/A
An information-theoretic wavelet-based texture descriptor using Gaussian Markov random field models,2019,Springer US,Cedrick Bamba Nsimba; Alexandre Levada,N/A
Spatially non-homogeneous potts model parameter estimation on higher-order neighborhood systems by maximum pseudo-likelihood,2008,Proceedings of the 2008 ACM symposium on Applied computing,Alexandre LM Levada; Nelson DA Mascarenhas; Alberto Tannús; Denis HP Salvadeo,N/A
On the numerical computation of Fisher–Rao based distances and KL-divergences between Gaussian random fields,2022,Elsevier,Alexandre LM Levada,N/A
A deep boltzmann machine-based approach for robust image denoising,2017,Springer International Publishing,Rafael G Pires; Daniel S Santos; Gustavo B Souza; Aparecido N Marana; Alexandre LM Levada; João Paulo Papa,N/A
Denoising based on non local means for ultrasound images with simultaneous multiple noise distributions,2014,Ieee,Denis HP Salvadeo; Isabelle Bloch; Florence Tupin; Nelson DA Mascarenhas; Alexandre LM Levada; Charles-Alban Deledalle; Sonia Dahdouh,N/A
On the influence of markovian models for contextual-based optimum-path forest classification,2014,Springer International Publishing,Daniel Osaku; Alexandre LM Levada; João P Papa,N/A
Improving Face Recognition Performance Using RBPCA MaxLike and Information Fusion,2010,IEEE,Denis HP Salvadeo; Nelson DA Mascarenhas; Jander Moreira; Alexandre LM Levada; Débora C Corrêa,N/A
GSAShrink: A novel iterative approach for wavelet-based image denoising,2009,IEEE,Alexandre LM Levada; Alberto Tannús; Nelson DA Mascarenhas,N/A
Stabilizing and improving the learning speed of 2-layered LSTM network,2008,IEEE,Débora C Corrêa; Alexandre LM Levada; José Hiroki Saito,N/A
Improving Potts MRF model parameter estimation in image analysis,2008,IEEE,Alexandre LM Levada; Nelson DA Mascarenhas; Alberto Tannús,N/A
Improving Potts MRF model parameter estimation using higher-order neighborhood systems on stochastic image modeling,2008,IEEE,Alexandre LM Levada; Nelson DA Mascarenhas; Alberto Tannus,N/A
The curvature effect in Gaussian random fields,2022,IOP Publishing,Alexandre LM Levada,N/A
Closed-form Bayesian image denoising: improving the adaptive Wiener filter through pairwise Gaussian-Markov random fields,2021,Taylor & Francis,Alexandre LM Levada,N/A
Exploring information theory and gaussian markov random fields for color texture classification,2020,Springer International Publishing,Cédrick Bamba Nsimba; Alexandre LM Levada,N/A
Fundamentos de lógica matemática,2017,N/A,Alexandre Luis Magalhães Levada,N/A
A graph-based approach for contextual image segmentation,2016,Ieee,Gustavo B Souza; Gabriel M Alves; Alexandre LM Levada; Paulo E Cruvinel; Aparecido N Marana,N/A
Contextual filtering of CT images using Markovian Wiener filters with a non local means approach for statistical estimation,2012,IEEE,Denis HP Salvadeo; Nelson DA Mascarenhas; Alexandre LM Levada,N/A
A Graph based method for Playlist Generation,2012,N/A,Debora C Correa; Alexandre LM Levada; Luciano Costa,N/A
Combinação de modelos de campos aleatórios markovianos para classificação contextual de imagens multiespectrais,2010,N/A,Alexandre Luis Magalhães Levada,N/A
Entropic principal component analysis using Cauchy–Schwarz divergence,2023,Springer London,Eduardo K Nakao; Alexandre LM Levada,N/A
On the Kullback-Leibler divergence between pairwise isotropic Gaussian-Markov random fields,2022,N/A,Alexandre LM Levada,N/A
Non-local medians filter for joint Gaussian and impulsive image denoising,2021,IEEE,Alexandre LM Levada,N/A
Entropic Laplacian eigenmaps for unsupervised metric learning,2021,IEEE,Alexandre Luís Magalhães Levada; Michel Ferreira Cardia Haddad,N/A
Combining deep and manifold learning for nonlinear feature extraction in texture images,2021,IEEE,Cédrick Bamba Nsimba; Alexandre LM Levada,N/A
Unsupervised learning and feature extraction in hyperspectral imagery,2020,Springer International Publishing,Eduardo K Nakao; Alexandre LM Levada,N/A
Nonlinear dimensionality reduction in texture classification: is manifold learning better than PCA?,2019,Springer International Publishing,Cédrick Bamba Nsimba; Alexandre LM Levada,N/A
RBPCA MaxLike: A novel statistic classifier for face recognition based on block-based PCA and covariance matrix regularization,2010,N/A,Denis HP Salvadeo; Nelson DA Mascarenhas; Jander Moreira; Alexandre LM Levada; Débora C Corrêa,N/A
Adaptive -nearest neighbor classifier based on the local estimation of the shape operator,2024,N/A,Alexandre Luís Magalhães Levada; Frank Nielsen; Michel Ferreira Cardia Haddad,N/A
Minimum Spanning Tree‐Based Clustering for Chemical Evaluation of Commercial Nail Polish Samples Using Spectroanalytical Data,2024,N/A,Heloisa Froehlick Castello; Felipe Lopes Rodrigues Silva; Dennis Silva Ferreira; Alexandre Luis Magalhães Levada; Edenir Rodrigues Pereira‐Filho; Fabiola Manhas Verbi Pereira,N/A
Information theory divergences in principal component analysis,2024,Springer London,Eduardo K Nakao; Alexandre LM Levada,N/A
Probabilistic Nearest Neighbors Based Locality Preserving Projections for Unsupervised Metric Learning,2024,Pensoft Publishers,Alaor Cervati Neto; Alexandre LM Levada,N/A
Dual Non-Local Means: a two-stage information-theoretic filter for image denoising,2024,Springer US,André R de Brito; Alexandre LM Levada,N/A
Non-linear Adaptive Wiener Filter for Time Series Smoothing,2022,N/A,Alexandre Levada,N/A
A curvature based isometric feature mapping,2022,IEEE,Alexandre LM Levada,N/A
Teoria dos Grafos para Computação,2022,N/A,Alexandre Luis Magalhães Levada,N/A
A kullback-leibler divergence-based locally linear embedding method: A novel parametric approach for cluster analysis,2021,Springer International Publishing,Alexandre LM Levada; Michel FC Haddad,N/A
A block-based Markov random field model estimation for contextual classification using Optimum-Path Forest,2016,Ieee,Daniel Osaku; Alexandre LM Levada; João Paulo Papa,N/A
On Combining Higher-Order MAP-MRF Based Classifiers for Image Labeling,2011,Springer Berlin Heidelberg,Alexandre LM Levada; Nelson DA Mascarenhas; Alberto Tannús,N/A
A MAP-MRF Approach for Wavelet-Based Image Denoising,2011,IntechOpen,Alexandre LM Levada; Nelson DA Mascarenhas; Alberto Tannús,N/A
"Statistical Inference on Markov Random Fields: Parameter Estimation, Asymptotic Evaluation and Contextual Classification of NMR Multispectral Images",2009,IntechOpen,Alexandre LM Levada; Nelson DA Mascarenhas; Alberto Tannus,N/A
