titulo,ano,local,coautores,link_externo
Comparing Agility Analysis Techniques: AgilAC Framework versus Ad Hoc Approach,2014,Springer International Publishing,Marcelo Benites Gonçalves; Débora Maria Barroso Paiva; Valter Vieira Camargo; Maria Istela Cagnin,N/A
Uma Estrutura Conceitual para Seleção de Frameworks de Componentes para Desenvolvimento de Interfaces Ricas,2013,N/A,Handerson Alves da Costa; Valter Vieira de Camargo,N/A
Uma abordagem para modularização de frameworks de múltiplos domínios em linha de produtos de frameworks,2013,N/A,Victor Hugo Santiago Costa Pinto,N/A
Mineração de interesses no processo de modernização dirigida a arquitetura,2013,N/A,Daniel Gustavo San Martín Santibáñez,N/A
Accelerating Crosscutting Framework Reuse Using a Model-Based Approach,2013,Springer Berlin Heidelberg,Thiago Gottardi; Oscar Pastor López; Valter Vieira de Camargo,N/A
Model-Based Reuse for Crosscutting Frameworks: Assessing Reuse and Maintainability Effort,2012,IEEE,Thiago Gottardi; Rafael Serapilha Durelli; Oscar Pastor López; Valter Vieira de Camargo,N/A
A Process for Engineering DSLs from Mobile Robot Applications,2012,IEEE,Daniel BF Conrado; Valter V de Camargo,N/A
Reúso de frameworks transversais com apoio de modelos,2012,N/A,Thiago Gottardi,N/A
Engineering Graphical Domain Specific Languages to Develop Embedded Robot Applications.,2012,N/A,Daniel BF Conrado; Valter Vieira de Camargo,N/A
A Model-based Approach for Reusing Crosscutting Frameworks.,2012,N/A,Thiago Gottardi; Oscar Pastor López; Valter Vieira de Camargo,N/A
A Design Strategy to Facilitate the Instantiation Process of White-Box Frameworks,2012,N/A,André L Oliveira; Fabiano C Ferrari; Paulo C Masiero; Rosângela AD Penteado; Valter V de Camargo,N/A
Introdução a disciplina de Engenharia de Software,2011,N/A,Valter Vieira Camargo,N/A
Recuperação de modelos de classes orientados a aspectos a partir de sistemas orientados a objetos usando refatorações de modelos,2011,N/A,Paulo Afonso Parreira Júnior,N/A
"UM PERFIL PARA MODELAGEM DE SOFTWARE ORIENTADO A ASPECTOS, COM USO DE ANOTAÇÕES",2010,N/A,Thiago Gottardi; Valter Vieira de Camargo; Fábio Lúcio Meira,N/A
Modularização com orientação a aspectos de frameworks desenvolvidos com linguagens de padrões de análise,2010,N/A,André Luiz de Oliveira,N/A
A Preliminary Comparison Framework for Aspect-Oriented Modeling Approaches,2008,N/A,José Uetanabara Júnior; Valter Vieira de Camargo,N/A
ProFT/PU: Um processo de desenvolvimento de software orientado a aspectos apoiado por frameworks,2008,N/A,Valter Vieira de Camargo; Paulo Cesar Masiero,N/A
Uma Abordagem para Tratamento de Regras de Negócio nas Fases Iniciais do Desenvolvimento.,2008,N/A,Marco Antonio De Grandi; Valter Vieira de Camargo; Edmundo Sérgio Spoto,N/A
Projeto de frameworks transversais usando a abordagem Tema/UML e o perfil UML-F,2007,N/A,Valter Vieira de Camargo; Paulo Cesar Masiero,N/A
Uma Comparação entre Abordagens de Modelagem Orientada a Aspectos,2006,N/A,José Uetanabara Júnior,N/A
Um Estudo Comparativo do Tempo de Composição de um Framework Orientado a Aspectos de Persistência e de um Framework Orientado a Objetos de Persistência,2006,SBC,Valter Vieira de Camargo; Erika Nina Höhn; José Carlos Maldonado,N/A
"Frameworks transversais: definições, classificações, arquitetura e utilização em um processo de desenvolvimento de software",2006,N/A,Valter Vieira de Camargo,N/A
Reuso da Implementação Orientada a Aspectos do Padrão de Projeto Camada de Persistência,2004,N/A,Rosângela Penteado; Paulo Cesar Masiero,N/A
An alternative object oriented reengineering for thin-client environments,2003,IEEE,Valter Vieira de Camargo; Rosângela Dellosso Penteado,N/A
Reengenharia Orientada a Objetos de Sistemas COBOL para Ambiente Web Thin-Client,2002,N/A,Valter Vieira de Camargo,N/A
Software Decisions with Pattern Relations,2002,N/A,Martin Auer; Wolfgang Zuser; Valter Vieira de Camargo,N/A
Architecture Conformance Checking for Self-Adaptive Systems,N/A,N/A,Daniel Gustavo San Martín Santibáñez; Valter Camargo; Guisella Angulo,N/A
Concern Metrics for Modularity-Oriented Modernizations,N/A,N/A,Raphael Honda; Valter Vieira de Camargo,N/A
PET-BCC da UFSCar Sao Carlos: Um PET Temático em Desenvolvimento de Software,N/A,N/A,José Vitor de Carvalho Aquino; Muriel Guilherme Alves Mauch; Felipe Sampaio; Pedro Henrique Migliatti de Souza; Letıcia Yumi Katsurada; Julia de Moura; Fernando Messias da Silva Caetano; Thiago Yonamine; Alexandre da Silva Lara; Miguel de Souza Tosta Pinto; Valter Vieira de Camargo; Rosângela Aparecida; Dellosso Penteado; Antonio Carlos dos Santos,N/A
"Instituto de Ciências Matemáticas e de Computação, Universidade de São Paulo (USP-São Carlos) 2 Departamento de Ciência da Computação, Universidade Federal da Bahia (UFBA) 3 Departamento de Sistemas Computacionais, Universidade de Pernambuco (UPE) 4 Departamento de Computação, Universidade Federal de São Carlos (UFSCar)",N/A,N/A,Valter Camargo; Otávio Lemos; Ricardo Ramos; Christina Chavez; Sérgio Soares; Rosângela Penteado; Paulo Cesar Masiero,N/A
"Título original Frameworks transversais: definições, classificações, arquitetura e utilização em um processo de desenvolvimento de software Autor Camargo, Valter Vieira de …",N/A,N/A,José Carlos Maldonado,N/A
A Preliminary Set of Testing Guidelines for Aspect-Oriented Persistence Frameworks,N/A,N/A,Carlos E Tibério Jr; Valter Vieira de Camargo; Rosângela AD Penteado,N/A
ComSCID: Identificação Automática de Interesses em Sistemas Orientados a Objetos,N/A,N/A,Paulo Afonso Parreira Júnior; Rosângela Aparecida Dellosso Penteado; Valter Vieira de Camargo; Heitor Augustus Xavier Costa,N/A
A General Approach for Creating Software Product Lines Supported by DSLs in the Mobile Robots Domain,N/A,N/A,Rafael S Durelli; Daniel BF Conrado; Valter V de Camargo; Rosângela AD Penteado,N/A
Um Estudo da Eficiência de Técnicas de Mineração de Interesses,N/A,N/A,Paulo AP Júnior; Rosângela AD Penteado; Valter Vieria de Camargo; Heitor AX Costa,N/A
A Preliminary Comparative Study Using UML-AOF-A UML Profile for Aspect-Oriented Frameworks,N/A,N/A,José Uetanabara Júnior; Rogério Lazanha; Paulo Afonso Parreira Júnior; Rosângela Aparecida Delloso Penteado; Valter Vieira de Camargo,N/A
1o. Workshop Brasileiro de Desenvolvimento de Software Orientado a Aspectos–WASP 2004–Relatório do Workshop,N/A,N/A,Alessandro Garcia; Christina Chavez; Sérgio Soares; Eduardo Piveta; Rosângela Penteado; Valter Vieira de Camargo; Fabrício Fernandes,N/A
A Process to Evolve Frameworks into Product Lines Using Aspect-Oriented Programming,N/A,N/A,André Luiz de Oliveira; Rosângela AD Penteado; Valter Vieira de Camargo,N/A
Camada de Aspectos para Modularização de Criptografia,N/A,N/A,Carlos Seiki Fujii; Rodolfo B Chiaramonte; Valter Vieira de Camargo,N/A
Uma Abordagem para Acompanhamento de Regras de Negócio Transversais ao Longo do Desenvolvimento,N/A,N/A,Marco Antonio De Grandi; Valter Vieira de Camargo; Edmundo Sérgio Spoto,N/A
Can common sense uncover cultural differences in computer applications?,2006,Springer US,Junia Anacleto; Henry Lieberman; Marie Tsutsumi; Vânia Neris; Aparecido Carvalho; Jose Espinosa; Muriel Godoi; Silvia Zem-Mascarenhas,N/A
Brazilian computer science research: Gender and regional distributions,2009,Springer Netherlands,Denis Arruda; Fábio Bezerra; Vânia Almeida Neris; Patricia Rocha De Toro; Jacques Wainera,N/A
Redes sociais online: desafios e possibilidades para o contexto brasileiro,2009,N/A,Vagner Figuerêdo De Santana; Diego Samir Melo-Solarte; Vânia Paula de Almeida Neris; Leonardo Cunha de Miranda; M Cecília C Baranauskas,N/A
Providing adaptive smartphone interfaces targeted at elderly people: an approach that takes into account diversity among the elderly,2017,Springer Berlin Heidelberg,Vinícius P Gonçalves; Vânia P de Almeida Neris; Sibelius Seraphini; Teresa CM Dias; Gustavo Pessin; Thienne Johnson; Jó Ueyama,N/A
Design guidelines for audio games,2013,Springer Berlin Heidelberg,Franco Eusébio Garcia; Vânia Paula de Almeida Neris,N/A
"Crowdsourcing, data and information fusion and situation awareness for emergency management of forest fires: the project DF100Fogo (FDWithoutFire)",2019,Pergamon,Allan CM Oliveira; Leonardo C Botega; Jordan F Saran; Jordana N Silva; Jéssica OSF Melo; Maria FD Tavares; Vania PA Neris,N/A
Methodology for data and information quality assessment in the context of emergency situational awareness,2017,Springer Berlin Heidelberg,Leonardo Castro Botega; Jéssica Oliveira de Souza; Fábio Rodrigues Jorge; Caio Saraiva Coneglian; Márcio Roberto de Campos; Vânia Paula de Almeida Neris; Regina Borges de Araújo,N/A
Avaliando a qualidade afetiva de sistemas computacionais interativos no cenário brasileiro,2009,N/A,Elaine Hayashi; Vânia Neris; Cecília Baranauskas; Maria Cecilia Martins; Lara Piccolo; Rosely Costa,N/A
Design de interfaces para todos-Demandas da diversidade cultural e social,2008,N/A,Vânia P Almeida Neris; Maria Cecília Martins; MEBB Prado; ECS Hayashi; M Cecília C Baranauskas,N/A
Assessing users’ emotion at interaction time: a multimodal approach with multiple sensors,2017,Springer Berlin Heidelberg,Vinícius P Gonçalves; Gabriel T Giancristofaro; Geraldo PR Filho; Thienne Johnson; Valéria Carvalho; Gustavo Pessin; Vânia P de Almeida Neris; Jó Ueyama,N/A
Interação de idosos com celulares: flexibilidade para atender a diversidade,2011,Proceedings of the 10th Brazilian Symposium on Human Factors in Computing Systems and the 5th Latin American Conference on Human-Computer Interaction,Vinícius Pereira Gonçalves; Vânia Paula De Almeida Neris; Jó Ueyama,N/A
Designing inclusive social networks: a participatory approach,2009,Springer Berlin Heidelberg,Leonelo Dell Anhol Almeida; Vânia Paula de Almeida Neris; Leonardo Cunha de Miranda; Elaine Cristina Saito Hayashi; Maria Cecília Calani Baranauskas,N/A
A systematic review of sustainability and aspects of human-computer interaction,2014,Springer International Publishing,Vânia Paula de Almeida Neris; Kamila Rios da Hora Rodrigues; Renata Firmino Lima,N/A
Towards a socially-constructed meaning for inclusive social network systems,2009,N/A,VP de A Neris; LD Almeida; LC Miranda; E Hayashi; MCC Baranauskas,N/A
A data-driven entity-component approach to develop universally accessible games,2014,Springer International Publishing,Franco Eusébio Garcia; Vânia Paula de Almeida Neris,N/A
Semth: An approach to the design of therapeutic digital games,2019,Proceedings of the 18th Brazilian Symposium on Human Factors in Computing Systems,Paula Maia de Souza; Kamila Rios da Hora Rodrigues; Vânia Paula de Almeida Neris,N/A
An interaction modeling language for therapeutic applications,2016,Proceedings of the 15th Brazilian Symposium on Human Factors in Computing Systems,Franco Eusébio Garcia; Kamila Rios da Hora Rodrigues; Vânia Paula de Almeida Neris,N/A
How Can Common Sense Support Instructors with Distance Education?,2006,N/A,Junia Coutinho Anacleto; Aparecido Fabiano Pinatti de Carvalho; Vânia Paula de Almeida Néris; Muriel de Souza Godoi; Silvia Zem-Mascarenhas; Américo Talarico Neto,N/A
An algorithm for music recommendation based on the user's musical preferences and desired emotions,2018,Proceedings of the 17th international conference on mobile and ubiquitous multimedia,Willian Garcias De Assuncao; Vania Paula de Almeida Neris,N/A
A framework for tailorable games: toward inclusive end-user development of inclusive games,2022,Springer Berlin Heidelberg,Franco Eusébio Garcia; Vânia Paula de Almeida Neris,N/A
Personas-driven design for mental health therapeutic applications,2015,N/A,Kamila Rodrigues; Franco Eusébio Garcia; Lucas Bocanegra; Vinícius Gonçalves; Vinícius Carvalho; Vania Paula de Almeida Neris,N/A
Systematic mapping of computational thinking in preschool children,2023,Elsevier,Everton Carlos Martins; Letícia Gabrielly Zacano da Silva; Vânia Paula de Almeida Neris,N/A
Design recommendations for chatbots to support people with depression,2022,Proceedings of the 21st Brazilian Symposium on Human Factors in Computing Systems,Paula Maia de Souza; Isabella da Costa Pires; Vivian Genaro Motti; Helena Medeiros Caseli; Jair Barbosa Neto; Larissa C Martini; Vânia Paula de Almeida Neris,N/A
Designing tailorable software systems with the users’ participation,2012,Springer London,Vânia Paula de Almeida Neris; M Cecília C Baranauskas,N/A
Laptops educacionais de baixo custo: prospectos e desafios,2007,N/A,Leonardo Cunha de Miranda; Heiko Horst Hornung; Diego Samir Melo Solarte; Roberto Romani; Maristela Regina Weinfurter; Vânia Paula de Almeida Neris; M Cecília C Baranauskas,N/A
Rufus-uma plataforma de autoria para jogos digitais terapêuticos,2021,Proceedings of the X Latin American Conference on Human Computer Interaction,Kamila Rios da Hora Rodrigues; Vania Paula de Almeida Neris; Paula Maia Souza; Rodrigo Geurgas Zavarizz; Jonattan Willian da Silva; Tiago Marino Silva; Aline Elias Cardoso Verhalen,N/A
PACO-A Framework for Planning Learning Activities Supported by Computers,2007,Brazilian Computing Society,VP de A Neris; JC Anacleto; SH Zem-Mascarenhas; AFP de Carvalho,N/A
Hyper documents with quality for distance learning: Cognitive strategies to help teachers in the navigational project and content organization,2005,Proceedings of the 11th Brazilian symposium on multimedia and the web,Vania PA Neris; Junia C Anacleto; Silvia Mascarenhas; Americo Talarico Neto,N/A
Sistemas Ubíquos para Todos: conhecendo e mapeando os diferentes perfis de interação,2013,Proceedings of the 12th Brazilian Symposium on Human Factors in Computing Systems,Tatiana Silva de Alencar; Vânia Paula de Almeida Neris,N/A
Use of digital game therapy among elderly persons undergoing dialytic treatment: cognitive aspects and depressive symptoms,2018,Universidade do Estado do Rio Janeiro,Sirlei Ricarte Bento; Ana Carolina Ottaviani; Allan Gustavo Brigola; Vânia Paula de Almeida Neris; Fabiana de Souza Orlandi; Sofia Cristina Iost Pavarini,N/A
Uma revisão sistemática sobre métodos de avaliação de usabilidade aplicados em software de telefones celulares,2011,N/A,Vinícius P Gonçalves; Vânia PA Neris; Marcelo Morandini; Elisa Y Nakagawa; Jó Ueyama,N/A
End-user tailoring: a semiotic-informed perspective,2007,N/A,VPA Neris; MCC Baranauskas,N/A
Using common sense to recognize cultural differences,2006,Springer Berlin Heidelberg,Junia Anacleto; Henry Lieberman; Aparecido de Carvalho; Vânia Néris; Muriel Godoi; Marie Tsutsumi; Jose Espinosa; Américo Talarico; Silvia Zem-Mascarenhas,N/A
Lessons learned in designing a digital therapeutic game to support the treatment and well-being of children with cancer,2018,Springer International Publishing,Kamila RH Rodrigues; Daniel BF Conrado; Vânia PA Neris,N/A
Collective construction of meaning and system for an inclusive social network,2011,IGI Global,Vânia Paula de Almeida Neris; Leonelo Dell Anhol Almeida; Leonardo Cunha De Miranda; Elaine Cristina Saito Hayashi; M Cecília C Baranauskas,N/A
Using patterns to support the design of flexible user interaction,2007,Springer Berlin Heidelberg,M Cecília C Baranauskas; Vania Paula de Almeida Neris,N/A
Enriquecimento de personas para apoio ao design de aplicações terapêuticas para a saúde mental,2014,Proceedings of the 13th Brazilian Symposium on Human Factors in Computing Systems,Kamila RH Rodrigues; Lucas F Bocanegra; Vinícius P Gonçalves; Vinícius G Carvalho; Vânia PA Neris,N/A
Decisoes de design de interfaces ruins eo impacto delas na interaçao: um estudo preliminar considerando o estado emocional de idosos,2012,Proceedings of the 11th Brazilian Symposium on Human Factors in Computing Systems,Rogério Aparecido Campanari Xavier; Franco Eusébio Garcia; Vânia Paula de Almeida Neris,N/A
A Hybrid Evaluation Approach for the Emotional State of Information Systems Users.,2012,N/A,Rogério Aparecido Campanari Xavier; Vânia Paula de Almeida Neris,N/A
Inclusive social networks: Clarifying concepts and prospecting solutions for e-Cidadania,2008,N/A,Elaine Cristina Saito Hayashi; VP de A Neris; Leonelo Dell Anhol Almeida; Carla Lopes Rodriguez; Maria Cecılia Martins; Maria Cecılia Calani Baranauskas,N/A
Addressing Brazilian diversity in personal computing systems with a tailoring-based approach,2021,Springer London,Vânia Paula de Almeida Neris; Frederico Fortuna; Rodrigo Bonacin; Tatiana Silva de Alencar; Luciano de Oliveira Neris; M Cecília C Baranauskas,N/A
Making interactive systems more flexible: an approach based on users' participation and norms,2010,Proceedings of the IX Symposium on Human Factors in Computing Systems,Vânia Paula de Almeida Neris; M Cecília C Baranauskas,N/A
Interfaces for all: a tailoring-based approach,2009,Springer Berlin Heidelberg,Vânia Paula de Almeida Neris; Maria Cecília Calani Baranauskas,N/A
"Able to create, able to (self-) improve: how an inclusive game framework fostered self-improvement through creation and play in alcohol and drugs rehabilitation",2019,Springer International Publishing,Franco Eusébio Garcia; Roberta Pereira Brandão; Gabriel Cheban do Prado Mendes; Vânia Paula de Almeida Neris,N/A
Towards design guidelines for software applications that collect user data for ubicomp,2014,Proceedings of the 13th Brazilian Symposium on Human Factors in Computing Systems,Tatiana Silva de Alencar; Vânia Paula de Almeida Neris,N/A
"Avaliando aspectos de privacidade no Facebook pelas lentes de usabilidade, acessibilidade e fatores emocionais",2012,Companion Proceedings of the 11th Brazilian Symposium on Human Factors in Computing Systems,Kamila RH Rodrigues; Maíra C Canal; Rogério AC Xavier; Tatiana S Alencar; Vânia PA Neris,N/A
Estudo e Proposta de um Framework para o Design de Interfaces de Usuário Ajustáveis,2010,Campinas,VPdA Neris,N/A
"Futuro, cidades inteligentes e sustentabilidade",2012,N/A,Vânia Paula Neris; KR Rodrigues; JB Silva,N/A
Coping with Diversity-A System for End-users to Customize Web User Interfaces,2021,ACM,Mailson de Queiroz Proença; Vivian Genaro Motti; Kamila Rios da Hora Rodrigues; Vânia Paula de Almeida Neris,N/A
Towards a semiotic-based approach to the design of therapeutic digital games,2018,Springer International Publishing,Paula Maia de Souza; Kamila Rios da Hora Rodrigues; Franco Eusébio Garcia; Vânia Paula de Almeida Neris,N/A
SAW-oriented user interfaces for emergency dispatch systems,2015,Springer International Publishing,Leonardo Castro Botega; Lucas César Ferreira; Natália Pereira de Oliveira; Allan Oliveira; Claudia Beatriz Berti; Vânia Paula de Neris; Regina Borges de Araújo,N/A
A framework for designing flexible systems,2011,IEEE,Vania P Almeida Neris; M Cecília C Baranauskas,N/A
Cog-learn: uma linguagem de padrões para e-learning,2006,N/A,A Talarico Neto; JC Anacleto; VA Neris,N/A
Understanding how social media imagery empowers caregivers: an analysis of microcephaly in Latin America,2021,Springer London,Vivian Genaro Motti; Niloofar Kalantari; Vânia Neris,N/A
"Activity of Brazilian HCI Community from 2012 to 2017 in the Context of the Challenge'Future, Smart Cities, and Sustainability'",2017,Proceedings of the XVI Brazilian Symposium on Human Factors in Computing Systems,Vagner F de Santana; Vânia PA Neris; Kamila RH Rodrigues; Renata Oliveira; Newton Galindo Jr,N/A
Design of therapeutic information systems as indicating through signs,2016,Springer International Publishing,Vânia Paula de Almeida Neris; Kamila RH Rodrigues,N/A
Design de jogos universais: apoiando a prototipação de alta fidelidade com classes abstratas e eventos,2013,Proceedings of the 12th Brazilian Symposium on Human Factors in Computing Systems,Franco Eusébio Garcia; Vânia Paula de Almeida Neris,N/A
"DE S.; CARVALHO, AFP DE (2006b). Cognitor: um Framework baseado na Linguagem de Padrões Cog-Learn",2006,N/A,A Talarico Neto; JC Anacleto; VPA Neris; M GODOI,N/A
Emotional responses to font types and sizes in web pages,2021,Proceedings of the xx brazilian Symposium on Human Factors in Computing Systems,Renata Germano Bianchi; Kamila Rios da Hora Rodrigues; Vânia Paula de Almeida Neris,N/A
Demystifying educational robotics with FOCORE: from very low cost software and hardware technologies to the development of new methodologies and curriculum for continuing teacher education and teaching of brazilian basic education students,2020,IEEE,Carla C Fernandes; Orivaldo VS Júnior; Denilton Oliveira; Luciane TS Garcia; Aquiles MF Burlamaqui; Julio CP Melo; Sarah TL Sá; Allyson AAF Soares; Anderson AS Souza; Dennis Barrios-Aranibar; Raquel E Patiño-Escarcina; João A Fabro; Akynara ARSS Burlamaqui; Samuel O Azevedo; Edilson RR Kato; Roberto S Inoue; André C Hernandes; Tatiana FAT Pazelli; Osmar Ogashawara; Luis AO Araujo; João VC Fontes; Alessandra A Hai; Kelen CT Vivaldini; Vania PA Neris; Luciano O Neris; Rafael V Aroca; Pablo J Alsina; Luiz MG Gonçalves,N/A
"Se cuidar, cuidar de algo, se divertir e aprender fazem bem",2016,N/A,Diogo Nishikawa; L Novak; M Azevedo; P Branco; R Olivi; R Brandão; F Garcia; V Neris,N/A
Which color should i pick? a study on colors and emotions in human-computer interaction,2015,Proceedings of the 14th Brazilian Symposium on Human Factors in Computing Systems,Renata Germano Bianchi; Vânia Paula de Almeida Neris,N/A
Measuring the emotional experience of users through a hybrid semantic approach,2014,Proceedings of the 13th Brazilian symposium on human factors in computing systems,Rogério Aparecido Campanari Xavier; Vânia Paula de Almeida Neris,N/A
Heuristics for assessing emotional response of viewers during the interaction with TV programs,2014,Springer International Publishing,Kamila Rios da Hora Rodrigues; Cesar Augusto Camillo Teixeira; Vânia Paula de Almeida Neris,N/A
Addressing the users’ diversity in ubiquitous environments through a low cost architecture,2014,Springer International Publishing,Tatiana Silva de Alencar; Luciano Rodrigues Machado; Luciano de Oliveira Neris; Vânia Paula de Almeida Neris,N/A
Linguagem de Padrões para Apoiar o Projeto de Material Instrucional para e-learning,2005,N/A,Americo Talarico Neto; Junia C Anacleto; Vânia P de A Neris,N/A
Building your own games: A platform for authoring digital games,2022,IEEE,Kamila Rios da Hora Rodrigues; Ticianne de Gois Ribeiro Darin; Vânia Paula de Almeida Neris,N/A
An Analitic Approach to Evaluate Flexible Mobile User Interfaces for the Elderly.,2012,N/A,Vinícius Pereira Gonçalves; Vânia Paula de Almeida Néris; Jó Ueyama; Sibelius Seraphini,N/A
A Framework for Planning Distance Learning Actions Supported by Computers,2006,N/A,VPA Neris; JC ANACLETO; SH ZEM-MASCARENHAS; A TALARICO NETO,N/A
Padrões para Apoiar o Projeto de Material Instrucional para EAD,2005,N/A,Americo Talarico Neto; Junia C Anacleto; Vânia P de Almeida Neris,N/A
m-Motion a mobile application for music recommendation that considers the desired emotion of the user,2019,Proceedings of the 18th Brazilian symposium on human factors in computing systems,Willian Garcias de Assunção; Vania Paula de Almeida Neris,N/A
"Socially Aware Organisations and Technologies. Impact and Challenges: 17th IFIP WG 8.1 International Conference on Informatics and Semiotics in Organisations, ICISO 2016, Campinas, Brazil, August 1-3, 2016, Proceedings",2016,Springer,Maria Cecilia Calani Baranauskas; Kecheng Liu; Lily Sun; Vânia Paula de Almeida Neris; Rodrigo Bonacin; Keiichi Nakata,N/A
O uso de cores em aplicações web: um estudo dos projetos desenvolvidos no curso lato sensu de desenvolvimento de software para a web,2014,N/A,Leandro Carlos Pedrassolli; Vânia Paula de Almeida Néris,N/A
Navigating through video stories using clustering sets,2011,IGI Global,Sheila M Pinto-Cáceres; Jurandy Almeida; Vânia PA Neris; M Cecília C Baranauskas; Neucimar J Leite; Ricardo da S Torres,N/A
Clarifying the dynamics of social networks: narratives from the social context of e-Cidadania,2008,N/A,Elaine Cristina Saito Hayashi; VPA Neris; Leonelo Dell Anhol Almeida; Leonardo Cunha Miranda; Maria Cecília Martins; Maria Cecília Calani Baranauskas,N/A
Applying common sense to distance learning: the case of home care education,2006,Proceedings of VII Brazilian symposium on Human factors in computing systems,Junia Coutinho Anacleto; Aparecido Fabiano P de Carvalho; Vânia Paula de Almeida Néris; Muriel de Souza Godoi; Silvia Zem-Mascarenhas; Américo Talarico Neto; Henry Lieberman,N/A
Criando jogos digitais terapêuticos a partir da plataforma de autoria RUFUS,2022,N/A,Kamila Rios da Hora Rodrigues; Vânia Paula de Almeida Neris; Rodrigo Geurgas Zavarizz; Jonattan Willian da Silva; Tiago Marino Silva; Aline Elias Cardoso Verhalen; Paula Maia de Souza,N/A
A comparative study of users' subjective feeling collection instruments,2020,Proceedings of the 19th Brazilian Symposium on Human Factors in Computing Systems,Letícia G Zacano da Silva; Patrícia Deud Guimarães; Luciana Oliveira de Souza Gomes; Vânia Paula de Almeida Neris,N/A
Strategies for inclusive end-user co-creation of inclusive storytelling games,2019,Springer International Publishing,Franco Eusébio Garcia; Vânia Paula de Almeida Neris,N/A
Uma Linguagem de Modelagem de Interação Para Aplicações Terapêuticas,2016,N/A,Franco Eusébio Garcia; Kamila RH Rodrigues; VPdA Neris,N/A
Emoçoes na interaçao humano-computador: um estudo considerando sensores,2013,N/A,Vinícius P Gonçalves; Vânia PA Neris; Jó Ueyama; Gabriel T Giancristofaro; Geraldo PR Filho; Sibelius Seraphini,N/A
Senior citizens in interaction with mobile phones: A flexible middleware approach to support the diversity,2013,"The Steering Committee of The World Congress in Computer Science, Computer Engineering and Applied Computing (WorldComp)",Vinícius P Gonçalves; Vânia PA Neris; Jó Ueyama; Sibelius Seraphini; Teresa CM Dias; Geraldo PR Filho,N/A
Supporting Teachers to Plan Culturally Contextualized Learning Activities,2008,Springer US,Ap Fabiano Pinatti de Carvalho; Junia C Anacleto; Vania P de Almeida Neris,N/A
A framework to support the design of learning objects based on the Cog-Learn Pattern Language,2006,Proceedings of the 12th Brazilian symposium on Multimedia and the web,Americo Talarico Neto; Junia Coutinho Anacleto; Vânia Almeida Neris; Muriel de Souza Godoi; Aparecido Fabiano Pinatti Carvalho,N/A
GranDIHC-BR 2025-2035-GC4: Sociocultural Aspects in Human-Computer Interaction,2024,Proceedings of the XXIII Brazilian Symposium on Human Factors in Computing Systems,Vânia PA Neris; Jean Clemisson Santos Rosa; Cristiano Maciel; Vinícius Carvalho Pereira; Vinícius F Galvão; Isabela L Arruda,N/A
Design and Evaluation of an Authoring Platform for Therapeutic Digital Games,2023,Oxford University Press,Kamila Rios da Hora Rodrigues; Aline Elias Cardoso Verhalen; Jonattan Willian da Silva; Tiago Marino Silva; Rodrigo Geurgas Zavarizz; Vânia Paula de Almeida Neris; Paula Maia de Souza,N/A
Uma plataforma para autoria de jogos digitais terapêuticos que apoiam o tratamento de crianças com câncer,2019,SBC,Kamila RH Rodrigues; Paula Souza; Thiago Yonamine; Ludmila Marques; Vânia PA Neris,N/A
Emotional response evaluation of users in ubiquitous environments: an observational case study,2016,Proceedings of the 13th International Conference on Advances in Computer Entertainment Technology,Tatiana Silva de Alencar; Kamila RH Rodrigues; Marcelo Barbosa; Renata Germano Bianchi; Vânia Paula de Almeida Neris,N/A
Perceptions of sustainability aspects in computing,2016,Proceedings of the 15th Brazilian Symposium on Human Factors in Computing Systems,Renata Rodrigues de Oliveira; Vânia Paula de Almeida Neris; Newton A Galindo Júnior,N/A
"The future, smart cities and sustainability",2015,N/A,V Neris; K Rodrigues; J Silva,N/A
Flexinterface: A framework to provide flexible mobile phone user interfaces,2013,N/A,Vinícius P Gonçalves; Sibelius Seraphini; Vânia PA Neris; Jó Ueyama,N/A
A utilização de recursos audiovisuais em comunidades virtuais de aprendizagem= potencialidades e limites para comunicação e construção de conhecimentos em rede,2011,N/A,Carla Lopes Rodriguez,N/A
Baranauskas. User Interface Design Informed by Affordances and Norms Concepts,2010,N/A,VP Neris,N/A
A Semiotic-informed evaluation of Vila na Rede,2010,N/A,VPA Neris; ECS Hayashi; M Cecília Martins; MCC Baranauskas,N/A
"Descobrindo o computar: tecnologia, ciências, design e computação para crianças de 4 e 5 anos",2023,CEDES-Centro de Estudos Educação e Sociedade,Alessandra Arce Hai; Vânia Paula de Almeida Neris; Luciano de Oliveira Neris; Kelen Cristiane Teixeira Vivaldini,N/A
Guidelines for the Sustainable Development of Computing Technology,2021,Springer International Publishing,Renata O Rodrigues; Kamila Rios H Rodrigues; Vânia Paula A Neris,N/A
Internet of Things in education for sustainable development,2021,Springer International Publishing,Lara SG Piccolo; Luciano de Oliveira Neris; Luana Maria da Silva Menezes; Vânia Neris,N/A
Tags vs. observers–a study on emotions tagged and emotions felt with Flickr pictures,2019,Springer US,Renata G Bianchi; Vânia PA Neris; Anderson L Ara,N/A
Uso de jogo digital terapêutico em idosos em tratamento dialítico: aspectos cognitivos e sintomas depressivos,2018,Universidade do Estado do Rio Janeiro,Sirlei Ricarte Bento; Ana Carolina Ottaviani; Allan Gustavo Brigola; Vânia Paula de Almeida Neris; Fabiana de Souza Orlandi; Sofia Cristina Iost Pavarini,N/A
